date time client_id server_id client_uqid server_uqid tcp_interval tcp_size tcp_speed udp_interval udp_size udp_speed jitter num_lost num_datagrams_sent num_out_of_order
2010-12-13 03:07:33.573857 1 0 i-1688be7b i-1488be79 0.0-10.0 724762624 579195051 0.0-10.0 12502350 9999994 0.027 5 8504 6
2010-12-13 03:07:58.852112 0 1 i-1488be79 i-1688be7b 0.0-10.0 631726080 505022399 0.0-10.0 12442080 9951844 0.029 2 8463 3
2010-12-13 03:08:24.268717 1 0 i-1688be7b i-1488be79 0.0-10.0 781492224 624646963 0.0-10.1 12497940 9947216 0.034 15 8501 16
2010-12-13 03:08:49.652319 0 1 i-1488be79 i-1688be7b 0.0-10.0 628695040 502732366 0.0-10.0 12480300 9982321 0.023 11 8489 12
2010-12-13 03:09:15.157122 1 0 i-1688be7b i-1488be79 0.0-10.0 753451008 601965850 0.0-10.0 12502350 9999994 0.051 11 8504 12
2010-12-13 03:09:40.611556 0 1 i-1488be79 i-1688be7b 0.0-10.0 579854336 463247476 0.0-10.0 12502350 9999994 0.036 1 8504 2
2010-12-13 03:10:06.055889 1 0 i-1688be7b i-1488be79 0.0-10.0 770834432 615319626 0.0-10.0 12495000 9992259 0.044 3 8499 4
2010-12-13 03:10:31.600447 0 1 i-1488be79 i-1688be7b 0.0-10.0 546209792 436948258 0.0-10.0 12481770 9982838 0.035 0 8490 1
2010-12-13 03:10:57.040103 1 0 i-1688be7b i-1488be79 0.0-10.0 703586304 562153309 0.0-10.0 12502350 9978606 0.036 0 8505 0
2010-12-13 03:11:22.468914 0 1 i-1488be79 i-1688be7b 0.0-10.0 601546752 479620409 0.0-10.0 12471480 9956291 0.177 0 8483 1
2010-12-13 03:11:47.717219 1 0 i-1688be7b i-1488be79 0.0-10.0 742055936 593209510 0.0-10.0 12502350 9999993 0.030 6 8504 7
2010-12-13 03:12:13.047759 0 1 i-1488be79 i-1688be7b 0.0-10.0 601571328 479759684 0.0-10.0 12470010 9951725 0.038 0 8482 1
2010-12-13 03:12:38.424913 1 0 i-1688be7b i-1488be79 0.0-10.0 753491968 601946455 0.0-10.0 12502350 9989300 0.046 5 8504 6
2010-12-13 03:13:03.836616 0 1 i-1488be79 i-1688be7b 0.0-10.0 605691904 483423617 0.0-10.0 12484710 9969756 0.025 6 8492 7
2010-12-13 03:13:29.151351 1 0 i-1688be7b i-1488be79 0.0-10.0 696754176 557160084 0.0-10.0 12489120 9981665 0.031 0 8495 1
2010-12-13 03:13:54.385629 0 1 i-1488be79 i-1688be7b 0.0-10.0 544874496 435851130 0.0-10.0 12480300 9952312 0.025 8 8489 9
2010-12-13 03:14:19.708079 1 0 i-1688be7b i-1488be79 0.0-10.0 765206528 611841007 0.0-10.0 12493530 9987342 0.039 6 8498 7
2010-12-13 03:14:44.904519 0 1 i-1488be79 i-1688be7b 0.0-10.0 638083072 509551150 0.0-10.0 12502350 9999996 0.030 7 8504 8
2010-12-13 03:15:10.245127 1 0 i-1688be7b i-1488be79 0.0-10.0 722296832 577608097 0.0-10.0 12492060 9982252 0.204 0 8497 1
2010-12-13 03:15:40.653707 0 1 i-1488be79 i-1688be7b 0.0-10.0 661356544 528777750 0.0-10.0 12465600 9961914 0.019 5 8479 6
2010-12-13 03:16:07.252817 1 0 i-1688be7b i-1488be79 0.0-10.0 739885056 591370134 0.0-10.0 12495000 9991784 0.040 0 8499 1
2010-12-13 03:16:32.913062 0 1 i-1488be79 i-1688be7b 0.0-10.0 650747904 520093676 0.0-10.0 12502350 9999996 0.049 3 8504 4
2010-12-13 03:16:58.697525 1 0 i-1688be7b i-1488be79 0.0-10.0 727392256 581472583 0.0-10.0 12500880 9978223 0.030 0 8503 1
2010-12-13 03:17:29.222791 0 1 i-1488be79 i-1688be7b 0.0-10.0 600956928 480706030 0.0-10.0 12502350 9999994 0.027 11 8504 12
2010-12-13 03:17:54.648389 1 0 i-1688be7b i-1488be79 0.0-10.0 586752000 468972443 0.0-10.0 12470010 9975229 0.026 0 8482 1
2010-12-13 03:18:25.262581 0 1 i-1488be79 i-1688be7b 0.0-10.0 592052224 472699641 0.0-10.0 12495000 9991989 0.036 4 8499 5
2010-12-13 03:18:50.865742 1 0 i-1688be7b i-1488be79 0.0-10.0 775446528 620094984 0.0-10.0 12486180 9981141 0.047 0 8493 1
2010-12-13 03:19:16.451584 0 1 i-1488be79 i-1688be7b 0.0-10.0 581918720 464534786 0.0-10.0 12480300 9983832 0.210 0 8489 1
2010-12-13 03:19:42.249026 1 0 i-1688be7b i-1488be79 0.0-10.0 803143680 642254894 0.0-10.0 12492060 9979241 0.033 4 8497 5
2010-12-13 03:20:07.581005 0 1 i-1488be79 i-1688be7b 0.0-10.0 552042496 441140625 0.0-10.0 12480300 9981610 0.058 0 8489 1
2010-12-13 03:20:33.147411 1 0 i-1688be7b i-1488be79 0.0-10.0 806797312 644991515 0.0-10.0 12477360 9981601 0.035 9 8487 10
