date time client_id server_id client_uqid server_uqid hop_count
2010-12-13 03:21:02.093746 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:21:27.731348 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:21:53.391561 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:22:18.871877 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:22:44.394392 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:23:10.035555 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:23:35.497191 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:24:01.087124 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:24:26.621635 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:24:52.487785 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:25:18.097369 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:25:43.535438 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:26:09.023398 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:26:34.473395 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:26:59.738304 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:27:24.989801 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:27:50.282814 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:28:15.499205 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:28:40.786859 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:29:06.033953 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:29:31.565503 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:29:56.901149 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:30:22.123973 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:30:47.425695 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:31:12.664837 0 1 i-1488be79 i-1688be7b 4
2010-12-13 03:31:38.125300 1 0 i-1688be7b i-1488be79 4
2010-12-13 03:32:03.526337 0 1 i-1488be79 i-1688be7b 4
